org.apache.commons.math.analysis.solvers.BisectionSolver,72,1
org.apache.commons.math.analysis.solvers.BisectionSolver,66,0.7071067812
org.apache.commons.math.analysis.solvers.BisectionSolver,79,0.5
org.apache.commons.math.analysis.solvers.BisectionSolver,80,0.5
org.apache.commons.math.analysis.solvers.BisectionSolver,85,0.5
org.apache.commons.math.analysis.solvers.BisectionSolver,86,0.5
org.apache.commons.math.analysis.solvers.BisectionSolver,87,0.5
org.apache.commons.math.analysis.solvers.BisectionSolver,88,0.5
org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils,223,0.377964473
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl,165,0.084818893
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl,166,0.084818893
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl,167,0.084818893
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl,208,0.0803219329
org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl,213,0.0803219329
